HOW TO USE THIS FILE
Each row is one flashcard sentence our AI pipeline flagged as possibly wrong.
"Read columns D-G, then fill in the yellow-ish ones: put OK or FIX in ""Your verdict""."
"If FIX: write the correct Japanese sentence (or the correct meaning) in ""Your correction""."
"Anything else you notice goes in ""Comments"". You only need to touch the last 3 columns."

No.,Deck,English meaning the app teaches,Current Japanese sentence,What our checker thinks is wrong,Suggested replacement sentence,What we need from you,Your verdict (OK / FIX),Your correction,Comments
33,N3,gland,首のグランドが痛いです。,グランド is a false cognate (= ground/field). Gland = 腺 (せん).,首の腺が腫れています。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
34,N3,gland,医者はグランドを調べました。,グランド≠gland; 腺(せん).,医者は腺を調べました。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
35,N3,gland,グランドが大きくなりました。,グランド≠gland; 腺(せん).,腺が大きくなりました。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
36,N3,path,天気がよければ、このパスを歩くことになりました。,パス doesn't mean a walking path (= pass/ticket/skip); use 道.,天気がよければ、この道を歩きましょう。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
37,N3,path,このパスは狭いから、気をつけてください。,パス≠path; use 道.,この道は狭いから、気をつけてください。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
38,N3,label,箱に票を貼ってください。,"票 = vote/ballot, not ""label"" (= ラベル/札). Fix vocab.",箱にラベルを貼ってください。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
39,N3,label,この票には値段が書いてあります。,票≠label; ラベル/札.,このラベルには値段が書いてあります。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
40,N3,label,票がないから、これが何か分かりません。,票≠label; ラベル.,ラベルがないから、これが何か分かりません。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
41,N3,muscle,運動して筋が痛くなりました。,"筋(すじ) = tendon/sinew, not muscle; muscle = 筋肉 (きんにく).",運動して足の筋肉が痛くなりました。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
42,N3,muscle,足の筋が強いです。,筋≠muscle; 筋肉.,足の筋肉が強いです。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
43,N3,muscle,どの筋が痛いですか。,筋≠muscle; 筋肉.,どこの筋肉が痛いですか。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
44,N3,being skilled in,彼は毎朝早く起きる能があります。,「能がある」archaic/unnatural; modern = 才能/能力. Reconsider headword 能.,彼には人を動かす才能があります。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
45,N3,being skilled in,彼女は絵を描く能があります。,能がある archaic → 才能.,彼女には絵を描く才能があります。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
46,N3,being skilled in,彼は病気を治す能がある医者です。,能がある unnatural; 腕がいい / 能力.,彼は腕のいい医者です。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
47,N3,ornamentation,彼女はケーキを花で修飾しました。,"修飾 = (grammatical) modification, not decoration. For decorating use 装飾. Fix gloss.",この文には修飾語がたくさんあります。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
48,N3,ornamentation,この文には修飾がたくさんあります。,"修飾 = modifier/modification (linguistic), not ""ornamentation"". Fix gloss.",この文には修飾がたくさんあります。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
49,N3,ornamentation,壁を絵で修飾するつもりです。,装飾する for decorating; 修飾 = grammatical modification. Fix gloss.,壁を絵で装飾するつもりです。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
50,N3,dwelling,この町で住を探すのは難しいです。,住 is not a standalone noun; use 住居/住まい/住宅. Fix headword.,この町で住まいを探すのは難しいです。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
51,N3,dwelling,休みの日までに新しい住を決めてください。,住 standalone unnatural → 住まい/住居.,休みの日までに新しい住まいを決めてください。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
52,N3,dwelling,急いでいたので、住はまだ決めていません。,住 standalone unnatural → 住まい.,急いでいたので、住まいはまだ決めていません。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
53,N3,pair,靴下の対をなくしたから、新しいのを買います。,"対 = a pair (both), not ""one of a pair"" (= 片方). Mistranslation.",靴下の片方をなくしたから、新しいのを買います。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
54,N3,collecting,子供の頃、切手の採集をしましたか。,採集 = gathering (insects/plants); stamps use 収集(しゅうしゅう). Fix vocab.,子供の頃、切手の収集をしましたか。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
55,N3,helping,食堂の昼御飯は盛りがとても多いです。,"盛り = もり (portion); さかり means ""peak/prime"". Fix reading.",食堂の昼御飯は盛りがとても多いです。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
56,N3,helping,昨日の晩御飯は盛りが少なかったです。,"盛り reading should be もり, not さかり.",昨日の晩御飯は盛りが少なかったです。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
57,N3,helping,あの店の盛りは多いですか。,"盛り = もり; also ""あの店の盛りは""→""あの店は盛りが"".",あの店は盛りが多いですか。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
58,N3,even number,この数字は偶ですか。,偶 alone ≠ even number; correct word is 偶数(ぐうすう). Fix vocab.,この数字は偶数ですか。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
59,N3,even number,検査の番号は偶の方がいいらしいです。,偶 alone nonstandard → 偶数(ぐうすう).,部屋の番号は偶数の方がいいらしいです。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
60,N3,first volume,この本の上は面白いです。,"上 for ""first volume"" is read じょう (上巻), not かみ. Fix reading/headword.",この小説の上巻はもう読みました。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
61,N3,first volume,上を先に読みたいです。,"上 = じょう (上巻), not かみ.",上巻を先に読みたいです。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
62,N3,upper,うわ、雪がたくさん降っていますね。,"Sentence used うわ as an interjection, not 上(うわ) ""upper"". 上 as うわ appears in compounds (上着). Fix.",上着を脱いでハンガーに掛けました。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
63,N3,upper,うわ、部屋がとても綺麗になりましたね。,"うわ was an interjection, not the prefix 上(うわ). Use a 上〜 compound (上着).",上着のポケットに鍵を入れました。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
64,N3,seasoning,この料理は醤油を加味して作ります。,"加味する = ""factor in/take into account"", not literal seasoning; use 味付けする. Fix vocab.",この料理は醤油で味付けして作ります。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
65,N3,seasoning,スープに何を加味しますか。,加味する ≠ literal seasoning; use 加える/味付けする.,スープに何を加えますか。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
66,N3,seasoning,もっと味を加味したいから、醤油を足します。,加味 misapplied to literal flavoring; use 味付け/足す.,もっと味を足したいから、醤油を入れます。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
67,N3,un,試験の結果は「不」でした。,不 alone isn't a grade; the fail grade is 不可(ふか). 不 is a bound prefix. Fix.,試験の結果は「不可」でした。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
68,N3,un,このテストの点では「不」になりますか。,"不 alone unnatural for ""fail"" → 不可.",この点数だと「不可」になりますか。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
69,N3,un,「不」を取りたくないので、毎日頑張ります。,不 → 不可 (the failing grade).,「不可」を取りたくないので、毎日頑張ります。,"Is the suggested new sentence natural, correct Japanese that uses this word properly? If yes write OK; if not, write a better one.",,,
